10,J,Q,cherry,lemon
J,A,plum,A,10
A,orange,Q,K,10
orange,J,Q,J,J
J,Q,K,plum,K
10,lemon,cherry,Q,lemon
K,watermelon,10,J,Q
Q,K,lemon,10,A
lemon,10,A,lemon,cherry
A,cherry,J,A,10
cherry,Q,10,cherry,J
10,J,grape,K,plum
J,plum,Q,10,K
K,A,K,J,Q
Q,10,plum,Q,A
plum,K,A,A,10
A,lemon,J,plum,lemon
10,J,10,K,J
lemon,Q,cherry,10,K
K,cherry,K,lemon,Q
J,A,lemon,J,A
Q,10,Q,Q,cherry
10,grape,A,cherry,10
A,K,J,A,J
cherry,lemon,10,10,Q
K,J,K,K,plum
lemon,Q,plum,J,K
J,plum,Q,plum,A
Q,A,A,Q,10
A,10,cherry,A,lemon
10,K,J,lemon,J
K,cherry,10,10,K
SC,J,SC,K,Q
J,Q,K,J,A
plum,A,lemon,Q,10
Q,10,Q,A,cherry
A,lemon,A,10,J
10,K,J,cherry,K
K,J,10,K,SC
lemon,Q,K,J,A
J,A,Q,plum,10
Q,plum,A,Q,lemon
A,10,lemon,A,J
cherry,K,J,10,K
10,cherry,10,lemon,Q
K,J,K,K,A
SC,Q,SC,J,10
J,A,K,Q,cherry
Q,lemon,Q,A,J
A,10,A,cherry,K
10,K,lemon,10,Q
K,J,J,K,A
lemon,Q,10,J,10
J,plum,K,plum,lemon
grape,A,Q,Q,J
Q,10,A,A,K
A,K,lemon,10,Q
10,cherry,J,lemon,A
K,J,10,K,W
W,Q,K,J,cherry
J,A,Q,Q,10
Q,lemon,A,A,J
A,10,cherry,10,K
10,K,J,cherry,Q
K,J,10,K,A
lemon,Q,K,J,10
J,A,plum,Q,lemon
Q,10,Q,A,J
A,cherry,A,10,K
cherry,K,lemon,lemon,Q
10,J,J,K,A
K,Q,10,J,10
SC,A,SC,Q,lemon
J,10,K,plum,J
Q,lemon,Q,A,K
A,K,A,10,W
10,J,lemon,cherry,A
K,Q,J,K,10
lemon,A,10,J,cherry
J,10,K,Q,J
Q,cherry,Q,A,K
A,K,A,lemon,Q
10,J,cherry,10,A
K,plum,J,K,10
cherry,Q,10,J,lemon
J,A,K,Q,J
Q,lemon,plum,A,K
A,10,Q,10,Q
10,K,A,cherry,A
K,J,lemon,K,10
lemon,Q,J,J,cherry
SC,A,SC,Q,J
J,10,10,A,K
Q,cherry,K,lemon,Q
A,K,Q,10,A
10,lemon,A,K,10
K,J,lemon,J,grape
plum,Q,J,Q,J
Q,A,10,A,K
A,10,K,cherry,Q
cherry,K,Q,K,A
