Q,A,J,A,W
K,A,J,plume,J
J,K,A,J,J
J,Q,J,Q,Q
Q,K,K,A,K
fade,plume,Q,K,K
J,J,plume,Q,A
J,Q,A,fade,fade
J,J,W,J,SC
Q,nonna,Q,nonna,K
A,fade,J,Q,A
K,Q,Q,Q,fade
capy,A,plume,A,K
K,plume,Q,J,A
fade,J,A,J,plume
K,A,Q,J,K
J,capy,J,Q,fade
J,A,fade,K,K
Q,Q,J,W,K
nonna,Q,A,K,plume
Q,A,plume,Q,J
A,plume,plume,A,plume
plume,J,A,A,A
K,A,Q,Q,Q
K,nonna,A,A,Q
Q,J,J,J,K
A,nonna,J,A,Q
J,A,K,K,K
Q,Q,K,K,Q
plume,Q,K,Q,J
K,J,J,J,K
SC,J,W,W,J
plume,J,J,A,K
Q,plume,A,plume,Q
J,J,K,K,K
Q,A,K,K,SC
A,J,Q,plume,J
A,K,J,J,K
K,J,nonna,A,Q
K,fade,K,A,J
Q,Q,J,W,A
A,A,SC,K,Q
K,Q,J,Q,K
J,nonna,A,K,J
fade,nonna,J,A,A
capy,Q,A,K,A
J,capy,nonna,A,nonna
J,J,Q,nonna,A
W,Q,J,J,plume
SC,K,J,J,Q
J,Q,K,Q,capy
Q,W,J,Q,fade
Q,J,A,Q,K
K,K,Q,K,Q
J,Q,J,capy,K
K,nonna,Q,Q,K
Q,Q,K,Q,Q
J,K,Q,fade,Q
J,K,K,J,J
SC,J,fade,Q,nonna
K,K,Q,Q,fade
plume,J,J,capy,K
J,A,Q,nonna,J
nonna,Q,plume,W,Q
A,J,J,K,A
nonna,J,fade,A,Q
plume,A,W,A,K
K,nonna,J,Q,A
nonna,J,capy,A,J
plume,nonna,J,A,Q
K,A,K,Q,plume
J,J,A,K,Q
plume,Q,capy,K,K
fade,Q,W,J,nonna
Q,A,SC,plume,J
fade,Q,Q,J,Q
Q,A,A,A,J
J,capy,plume,J,J
K,K,Q,J,J
nonna,K,fade,A,K
Q,K,K,plume,J
A,J,Q,A,fade
A,plume,J,Q,nonna
J,K,K,nonna,A
Q,A,Q,A,Q
Q,J,A,J,SC
Q,fade,Q,A,K
J,K,K,plume,nonna
nonna,fade,J,Q,nonna
K,J,J,A,J
Q,Q,SC,capy,K
A,J,K,J,A
J,plume,Q,Q,plume
J,K,A,A,nonna
Q,A,A,capy,K
Q,J,nonna,Q,A
J,A,plume,A,plume
K,K,J,A,J
K,Q,J,J,J
J,J,J,K,fade
