fade,K,J,J,plume
Q,capy,J,K,fade
plume,plume,J,fade,SC
nonna,plume,J,J,K
W,Q,Q,plume,nonna
J,fade,nonna,J,J
Q,A,plume,fade,W
plume,plume,Q,Q,A
capy,plume,nonna,J,fade
Q,A,fade,Q,nonna
K,A,K,A,nonna
Q,J,K,A,plume
J,nonna,SC,plume,capy
SC,Q,K,J,J
A,A,capy,J,plume
A,capy,fade,J,A
A,J,K,Q,nonna
plume,J,K,Q,A
K,K,J,Q,K
SC,Q,K,Q,K
K,J,plume,nonna,fade
plume,K,Q,plume,J
K,A,W,plume,fade
J,A,plume,capy,fade
Q,plume,Q,nonna,capy
K,K,Q,J,K
nonna,nonna,plume,Q,capy
plume,K,J,fade,Q
A,plume,Q,J,nonna
W,A,fade,fade,Q
K,Q,fade,K,fade
J,capy,nonna,fade,Q
fade,Q,fade,K,SC
A,Q,J,nonna,A
SC,K,A,A,J
K,Q,J,plume,J
fade,fade,J,Q,A
nonna,J,plume,J,capy
Q,plume,Q,A,Q
A,Q,J,fade,K
capy,J,plume,fade,A
fade,nonna,A,K,nonna
K,Q,J,A,J
J,K,SC,fade,Q
capy,A,plume,nonna,SC
W,Q,A,W,W
nonna,A,J,Q,Q
plume,K,A,nonna,A
nonna,J,nonna,J,K
W,J,plume,K,fade
fade,J,plume,fade,J
K,nonna,Q,plume,Q
J,Q,J,K,Q
plume,Q,Q,Q,plume
Q,J,A,K,K
J,fade,J,Q,Q
Q,J,SC,Q,nonna
W,K,K,A,A
K,Q,A,capy,Q
K,Q,J,Q,K
K,nonna,capy,J,J
fade,plume,plume,Q,nonna
Q,K,plume,Q,K
plume,Q,fade,J,Q
K,nonna,K,A,K
J,fade,J,capy,A
nonna,nonna,A,A,fade
plume,capy,fade,nonna,W
J,Q,Q,A,fade
Q,plume,A,A,J
Q,J,K,J,nonna
J,J,J,K,A
