10,J,Q,cherry,lemon
J,W,plum,A,10
A,orange,Q,K,cherry
orange,J,Q,J,J
J,Q,K,plum,K
10,lemon,cherry,Q,lemon
K,watermelon,10,W,Q
Q,K,lemon,10,A
lemon,10,A,lemon,cherry
W,cherry,J,A,10
cherry,Q,10,cherry,J
10,J,grape,K,plum
J,plum,Q,10,K
K,A,K,J,Q
Q,10,plum,Q,A
plum,K,A,A,W
A,lemon,W,plum,lemon
10,J,10,K,J
lemon,Q,cherry,10,K
K,cherry,K,lemon,Q
J,W,lemon,J,A
Q,10,Q,Q,cherry
10,grape,A,cherry,10
A,K,J,W,J
cherry,lemon,10,10,Q
K,J,K,K,plum
lemon,Q,plum,J,K
W,plum,Q,plum,A
Q,A,A,Q,10
A,10,cherry,A,lemon
10,K,J,lemon,W
K,cherry,10,10,K
K,J,lemon,K,Q
J,Q,K,J,A
plum,A,lemon,Q,10
Q,W,Q,A,cherry
A,lemon,A,10,J
10,K,J,cherry,K
K,J,10,K,plum
lemon,Q,K,J,A
J,A,Q,plum,10
Q,plum,W,Q,lemon
A,10,lemon,A,J
cherry,K,J,10,K
10,cherry,10,lemon,Q
K,J,K,K,A
J,Q,cherry,J,10
J,A,K,Q,cherry
Q,lemon,Q,W,J
W,10,A,cherry,K
10,K,lemon,10,Q
K,J,J,K,A
lemon,Q,10,J,10
J,plum,K,plum,lemon
grape,A,Q,Q,W
Q,10,A,A,K
A,K,lemon,10,Q
10,watermelon,J,lemon,A
K,J,10,K,W
W,Q,K,J,cherry
J,A,Q,Q,10
Q,lemon,A,A,J
A,10,cherry,W,K
10,K,W,cherry,Q
K,J,10,K,A
lemon,Q,K,J,10
J,W,plum,Q,lemon
Q,10,Q,A,J
A,cherry,A,10,K
cherry,K,lemon,lemon,Q
